## [iView]
## Converted from: 	 ###
## Date: 	 ###
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	250
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	47727                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject: 	80
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID: 	 ###
## Operating System :	6.2.9200
## iView X Version:	4.2.0.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Frame	Aux1
87121782	SMP	1	766.88	582.21	529.36	584.45	12.71	12.71	3.34	13.40	13.40	3.55	764.89	584.74	770.07	584.74	528.07	587.00	533.06	586.99	1303.04	763.24	1303.04	763.24	0	1	1	2	-1	-1	-33.80	-19.35	628.07	29.10	-20.17	635.36	0.08	0.17	-0.98	0.02	0.17	-0.99		
87125784	SMP	1	766.52	581.93	529.22	584.07	12.88	12.88	3.33	13.33	13.33	3.53	764.61	584.52	770.01	584.53	528.11	586.89	533.05	586.93	1331.15	720.93	1331.15	720.93	0	1	1	2	-1	-1	-33.63	-19.22	625.82	29.10	-20.15	635.42	0.09	0.17	-0.98	0.03	0.19	-0.98		
87129786	SMP	1	766.26	581.37	529.09	583.92	12.55	12.55	3.31	13.49	13.49	3.53	764.58	584.49	769.90	584.42	528.05	586.90	533.04	586.90	1357.65	659.48	1357.65	659.48	0	1	1	2	-1	-1	-33.54	-19.16	624.38	29.10	-20.14	635.15	0.10	0.20	-0.98	0.03	0.19	-0.98		
87133788	SMP	1	766.14	581.31	529.00	583.89	12.50	12.50	3.29	13.49	13.49	3.53	764.57	584.49	769.86	584.41	528.03	586.92	533.02	586.90	1375.73	646.61	1375.73	646.61	0	1	1	2	-1	-1	-33.47	-19.12	623.26	29.09	-20.13	634.89	0.11	0.20	-0.97	0.04	0.20	-0.98		
87137790	SMP	1	766.06	581.07	528.93	583.82	12.41	12.41	3.27	13.58	13.58	3.53	764.57	584.50	769.84	584.46	528.03	586.96	533.00	586.93	1388.61	623.62	1388.61	623.62	0	1	1	2	-1	-1	-33.42	-19.10	622.37	29.09	-20.14	634.77	0.11	0.21	-0.97	0.04	0.20	-0.98		
87141792	SMP	1	766.16	581.14	528.87	583.82	12.53	12.53	3.26	13.44	13.44	3.53	764.58	584.52	769.86	584.55	527.99	586.97	532.99	586.94	1390.10	617.16	1390.10	617.16	0	1	1	2	-1	-1	-33.38	-19.09	621.53	29.08	-20.13	634.43	0.11	0.21	-0.97	0.04	0.20	-0.98	 -1	
87145794	SMP	1	766.07	581.19	528.85	583.87	12.47	12.47	3.25	13.45	13.45	3.53	764.57	584.57	769.81	584.66	527.94	587.02	532.97	587.00	1395.24	612.27	1395.24	612.27	0	1	1	2	-1	-1	-33.35	-19.10	621.06	29.06	-20.13	633.89	0.11	0.21	-0.97	0.04	0.20	-0.98	 -1	
87149796	SMP	1	766.13	581.28	528.81	584.02	12.45	12.45	3.24	13.45	13.45	3.52	764.60	584.74	769.76	584.80	527.89	587.12	532.95	587.04	1394.70	609.73	1394.70	609.73	0	1	1	2	-1	-1	-33.35	-19.14	621.12	29.05	-20.13	633.28	0.11	0.22	-0.97	0.04	0.20	-0.98	 -1	
87153798	SMP	1	766.06	581.37	528.82	584.07	12.44	12.44	3.23	13.46	13.46	3.52	764.59	584.89	769.67	584.92	527.78	587.22	532.90	587.15	1393.31	604.90	1393.31	604.90	0	1	1	2	-1	-1	-33.37	-19.19	621.78	29.02	-20.13	632.31	0.11	0.22	-0.97	0.04	0.20	-0.98	 -1	
87157800	SMP	1	766.08	581.55	528.79	584.16	12.41	12.41	3.22	13.42	13.42	3.51	764.56	585.00	769.62	584.96	527.70	587.31	532.71	587.29	1388.54	605.48	1388.54	605.48	0	1	1	2	-1	-1	-33.40	-19.24	622.53	29.05	-20.15	632.22	0.11	0.21	-0.97	0.03	0.20	-0.98	 -1	
87161802	SMP	1	766.06	581.63	528.75	584.36	12.37	12.37	3.21	13.37	13.37	3.51	764.52	585.11	769.57	584.98	527.58	587.42	532.59	587.40	1386.40	607.02	1386.40	607.02	0	1	1	2	-1	-1	-33.42	-19.28	623.22	29.08	-20.18	632.11	0.10	0.21	-0.97	0.03	0.20	-0.98	 -1	
87165804	SMP	1	765.98	581.58	528.70	584.46	12.46	12.46	3.21	13.41	13.41	3.50	764.49	585.18	769.52	584.98	527.54	587.47	532.55	587.45	1388.45	604.81	1388.45	604.81	0	1	1	2	-1	-1	-33.45	-19.31	623.93	29.09	-20.19	632.02	0.11	0.22	-0.97	0.03	0.19	-0.98	 -1	
87169806	SMP	1	765.97	581.84	528.57	584.47	12.26	12.26	3.20	13.35	13.35	3.50	764.46	585.29	769.49	585.01	527.53	587.49	532.51	587.49	1392.07	607.69	1392.07	607.69	0	1	1	2	-1	-1	-33.48	-19.35	624.59	29.10	-20.20	632.13	0.11	0.21	-0.97	0.03	0.20	-0.98	 -1	
