## [iView]
## Converted from: 	 ###
## Date: 	 ###
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	250
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	42310                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject: 	107
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID: 	 ###
## Operating System :	6.2.9200
## iView X Version:	4.2.0.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Frame	Aux1
967394534	SMP	1	615.19	135.07	316.78	171.24	19.18	19.18	3.63	16.64	16.64	3.10	609.59	137.25	619.20	137.03	311.51	174.32	321.54	174.14	910.93	918.18	910.93	918.18	0	1	1	2	-1	-1	4.80	71.56	454.49	60.57	63.28	446.09	-0.04	-0.08	-1.00	-0.14	-0.03	-0.99		
967398537	SMP	1	615.04	135.01	316.73	171.45	19.15	19.15	3.63	16.64	16.64	3.10	609.51	137.29	619.14	137.06	311.47	174.36	321.46	174.21	911.87	919.88	911.87	919.88	0	1	1	2	-1	-1	4.81	71.53	454.35	60.54	63.23	445.82	-0.04	-0.08	-1.00	-0.14	-0.03	-0.99		
967402539	SMP	1	614.98	135.21	316.78	171.37	19.24	19.24	3.63	16.76	16.76	3.11	609.42	137.33	618.99	137.07	311.44	174.37	321.38	174.27	910.19	921.36	910.19	921.36	0	1	1	2	-1	-1	4.83	71.54	454.40	60.54	63.21	445.68	-0.04	-0.08	-1.00	-0.14	-0.03	-0.99	 -1	
967406542	SMP	1	614.83	135.10	316.47	171.61	19.35	19.35	3.64	16.30	16.30	3.10	609.37	137.34	618.90	137.06	311.39	174.38	321.30	174.30	912.51	923.62	912.51	923.62	0	1	1	2	-1	-1	4.85	71.56	454.53	60.54	63.20	445.64	-0.04	-0.08	-1.00	-0.14	-0.04	-0.99	 -1	
967410545	SMP	1	614.67	135.12	316.59	171.64	19.27	19.27	3.64	16.63	16.63	3.10	609.29	137.35	618.79	137.07	311.35	174.45	321.24	174.35	912.63	924.53	912.63	924.53	0	1	1	2	-1	-1	4.87	71.59	454.73	60.56	63.19	445.67	-0.03	-0.08	-1.00	-0.14	-0.04	-0.99	 -1	
967414547	SMP	1	614.77	135.15	316.42	171.69	19.18	19.18	3.64	16.54	16.54	3.10	609.23	137.40	618.70	137.11	311.72	174.38	321.19	174.42	915.14	925.26	915.14	925.26	0	1	1	2	-1	-1	4.88	71.61	454.96	60.68	63.35	446.80	-0.04	-0.08	-1.00	-0.13	-0.04	-0.99	 -1	
967418550	SMP	1	614.62	135.07	316.51	171.44	19.28	19.28	3.64	16.56	16.56	3.10	609.13	137.41	618.63	137.14	311.67	174.40	321.08	174.47	915.68	921.61	915.68	921.61	0	1	1	2	-1	-1	4.90	71.63	455.10	60.85	63.51	447.96	-0.04	-0.07	-1.00	-0.14	-0.03	-0.99	 -1	
967422552	SMP	1	614.64	135.14	316.50	171.72	19.27	19.27	3.64	16.41	16.41	3.10	609.04	137.43	618.56	137.17	311.61	174.44	321.04	174.53	914.47	923.01	914.47	923.01	0	1	1	2	-1	-1	4.92	71.64	455.18	60.99	63.63	448.91	-0.04	-0.08	-1.00	-0.14	-0.04	-0.99	 -1	
967426555	SMP	1	614.40	135.19	316.45	170.56	19.16	19.16	3.64	14.90	14.90	3.04	608.95	137.44	618.49	137.22	311.59	174.43	320.97	174.53	917.35	856.71	917.35	856.71	0	1	1	2	-1	-1	4.93	71.63	455.19	61.14	63.77	449.91	-0.04	-0.08	-1.00	-0.14	0.01	-0.99	 -1	
967430558	SMP	1	614.54	135.25	316.26	170.89	19.26	19.26	3.64	15.13	15.13	3.01	608.88	137.47	618.47	137.25	311.56	174.46	320.87	174.58	918.67	869.97	918.67	869.97	0	1	1	2	-1	-1	4.94	71.61	455.07	61.29	63.92	450.98	-0.04	-0.08	-1.00	-0.13	0.00	-0.99	 -1	
967434560	SMP	1	614.31	135.26	315.98	171.56	19.17	19.17	3.64	16.18	16.18	3.02	608.77	137.49	618.43	137.30	310.99	174.57	320.79	174.66	918.65	916.63	918.65	916.63	0	1	1	2	-1	-1	4.95	71.56	454.78	61.31	63.85	450.65	-0.04	-0.08	-1.00	-0.14	-0.03	-0.99	 -1	
967438563	SMP	1	614.34	135.40	316.17	171.73	19.16	19.16	3.63	16.01	16.01	3.02	608.72	137.54	618.41	137.35	311.49	174.52	320.72	174.73	919.30	919.40	919.30	919.40	0	1	1	2	-1	-1	4.95	71.50	454.44	61.44	64.03	451.87	-0.04	-0.08	-1.00	-0.13	-0.03	-0.99	 -1	
967442565	SMP	1	614.31	135.18	316.14	171.78	19.16	19.16	3.63	16.47	16.47	3.04	608.66	137.56	618.37	137.36	310.97	174.61	320.66	174.77	916.01	916.62	916.01	916.62	0	1	1	2	-1	-1	4.96	71.44	454.11	61.47	63.99	451.73	-0.04	-0.07	-1.00	-0.14	-0.03	-0.99	 -1	
967446568	SMP	1	614.16	135.42	316.05	170.56	19.36	19.36	3.64	14.70	14.70	2.99	608.59	137.57	618.34	137.38	310.75	174.70	320.57	174.76	917.53	848.01	917.53	848.01	0	1	1	2	-1	-1	4.97	71.37	453.69	61.43	63.92	451.26	-0.04	-0.08	-1.00	-0.15	0.02	-0.99	 -1	
967450572	SMP	1	614.24	135.15	315.85	171.84	19.28	19.28	3.64	16.63	16.63	3.02	608.56	137.62	618.28	137.42	310.69	174.78	320.54	174.84	916.29	911.75	916.29	911.75	0	1	1	2	-1	-1	4.97	71.32	453.41	61.38	63.83	450.77	-0.04	-0.07	-1.00	-0.14	-0.03	-0.99	 -1	
967454577	SMP	1	614.07	135.36	315.94	171.80	19.27	19.27	3.63	16.45	16.45	3.03	608.52	137.66	618.20	137.44	310.66	174.79	320.49	174.86	914.70	910.51	914.70	910.51	0	1	1	2	-1	-1	4.98	71.29	453.25	61.33	63.78	450.37	-0.04	-0.08	-1.00	-0.15	-0.03	-0.99	 -1	
967458581	SMP	1	614.02	135.46	315.61	170.81	19.25	19.25	3.63	15.01	15.01	3.00	608.48	137.68	618.16	137.47	310.63	174.80	320.44	174.84	919.06	850.16	919.06	850.16	0	1	1	2	-1	-1	4.99	71.26	453.11	61.30	63.74	450.09	-0.04	-0.08	-1.00	-0.13	0.01	-0.99	 -1	
967462586	SMP	1	614.03	135.44	315.89	171.93	19.34	19.34	3.64	16.71	16.71	3.02	608.45	137.68	618.10	137.46	310.54	174.84	320.43	174.86	912.75	911.89	912.75	911.89	0	1	1	2	-1	-1	5.00	71.26	453.06	61.24	63.66	449.62	-0.04	-0.08	-1.00	-0.15	-0.03	-0.99	 -1	
1101403842	MSG	1	# Message: instruction_calibration.jpg
1101409830	SMP	1	988.55	51.29	690.41	36.82	16.72	16.72	3.36	15.10	15.10	2.94	979.81	58.70	988.31	59.32	680.66	44.62	689.62	45.31	369.60	206.77	369.60	206.77	0	1	1	2	-1	-1	-69.08	90.76	476.88	-9.00	92.00	468.87	-0.04	0.12	-0.99	-0.19	0.13	-0.97	 -1	
